	SPY	Stock Price	Cash	Portfolio Value
2014-09-16	0	192.441099	24267.0983	24267.0983
2014-09-17	100	192.700276	4997.0707	24267.0983
2014-09-18	0	193.727378	24369.8085	24369.8085
2014-09-19	0	193.552815	24369.8085	24369.8085
2014-09-22	-100	192.058009	43575.6094	24369.8085
2014-09-23	0	190.958607	24479.7487	24479.7487
2014-09-24	0	192.453412	24479.7487	24479.7487
2014-09-25	100	189.348079	5544.9408	24479.7487
2014-09-26	100	190.852523	5544.9408	24630.1931
2014-09-29	0	190.505343	24595.4751	24595.4751
2014-09-30	0	190.003871	24595.4751	24595.4751
2014-10-01	100	187.428955	5852.5796	24595.4751
2014-10-02	100	187.457886	5852.5796	24598.3682
2014-10-03	100	189.521677	5852.5796	24804.7473
2014-10-06	0	189.299857	24782.5653	24782.5653
2014-10-07	0	186.37776	24782.5653	24782.5653
2014-10-08	-100	189.637399	43746.3052	24782.5653
2014-10-09	-100	185.876289	43746.3052	25158.6763
2014-10-10	0	183.754622	25370.843	25370.843
2014-10-13	100	180.736095	7297.2335	25370.843
2014-10-14	100	181.015761	7297.2335	25398.8096
2014-10-15	100	179.790984	7297.2335	25276.3319
2014-10-16	100	179.636693	7297.2335	25260.9028
2014-10-17	100	181.758345	7297.2335	25473.068
2014-10-20	100	183.523178	7297.2335	25649.5513
2014-10-21	100	187.158928	7297.2335	26013.1263
2014-10-22	100	185.828066	7297.2335	25880.0401
2014-10-23	100	187.988288	7297.2335	26096.0623
2014-10-24	100	189.434871	7297.2335	26240.7206
2014-10-27	100	189.174496	7297.2335	26214.6831
2014-10-28	100	191.344371	7297.2335	26431.6706
2014-10-29	100	191.055052	7297.2335	26402.7387
2014-10-30	100	192.279829	7297.2335	26525.2164
2014-10-31	100	194.478634	7297.2335	26745.0969
2014-11-03	0	194.584718	26755.7053	26755.7053
2014-11-04	100	193.909649	7364.7404	26755.7053
2014-11-05	100	195.134412	7364.7404	26878.1816
2014-11-06	100	195.915564	7364.7404	26956.2968
2014-11-07	100	196.0988	7364.7404	26974.6204
2014-11-10	100	196.716009	7364.7404	27036.3413
2014-11-11	100	196.908883	7364.7404	27055.6287
2014-11-12	100	196.696731	7364.7404	27034.4135
2014-11-13	100	196.918537	7364.7404	27056.5941
2014-11-14	100	196.966759	7364.7404	27061.4163
2014-11-17	100	197.09212	7364.7404	27073.9524
2014-11-18	0	198.230106	27187.751	27187.751
2014-11-19	0	197.911856	27187.751	27187.751
2014-11-20	0	198.259036	27187.751	27187.751
2014-11-21	0	199.319855	27187.751	27187.751
2014-11-24	100	199.879202	7199.8308	27187.751
2014-11-25	100	199.73455	7199.8308	27173.2858
2014-11-26	0	200.245675	27224.3983	27224.3983
2014-11-28	-100	199.821342	47206.5325	27224.3983
2014-12-01	0	198.432619	27363.2706	27363.2706
2014-12-02	0	199.715258	27363.2706	27363.2706
2014-12-03	0	200.486772	27363.2706	27363.2706
