	AAPL	Stock Price	Cash	Portfolio Value
2014-07-24	0	92.939858	18551.1117	18551.1117
2014-07-25	100	93.55288	9195.8237	18551.1117
2014-07-28	100	94.845971	9195.8237	18680.4208
2014-07-29	100	94.23295	9195.8237	18619.1187
2014-07-30	0	94.012649	18597.0886	18597.0886
2014-07-31	100	91.570137	9440.0749	18597.0886
2014-08-01	0	92.077795	18647.8544	18647.8544
2014-08-04	0	91.560557	18647.8544	18647.8544
2014-08-05	0	91.110375	18647.8544	18647.8544
2014-08-06	100	90.957116	9552.1428	18647.8544
2014-08-07	100	90.947498	9552.1428	18646.8926
2014-08-08	100	91.197772	9552.1428	18671.92
2014-08-11	100	92.401035	9552.1428	18792.2463
2014-08-12	100	92.381786	9552.1428	18790.3214
2014-08-13	100	93.604299	9552.1428	18912.5727
2014-08-14	0	93.85458	18937.6008	18937.6008
2014-08-15	100	94.316637	9505.9371	18937.6008
2014-08-18	100	95.452518	9505.9371	19051.1889
2014-08-19	100	96.771291	9505.9371	19183.0662
2014-08-20	100	96.809796	9505.9371	19186.9167
2014-08-21	100	96.819424	9505.9371	19187.8795
2014-08-22	100	97.531754	9505.9371	19259.1125
2014-08-25	100	97.74353	9505.9371	19280.2901
2014-08-26	100	97.117831	9505.9371	19217.7202
2014-08-27	0	98.311467	19337.0838	19337.0838
2014-08-28	100	98.426983	9494.3855	19337.0838
2014-08-29	0	98.667636	19361.1491	19361.1491
2014-09-02	-100	99.437727	29304.9218	19361.1491
2014-09-03	0	95.240743	19780.8475	19780.8475
2014-09-04	100	94.451402	10335.7073	19780.8475
2014-09-05	100	95.26962	10335.7073	19862.6693
2014-09-08	0	94.682426	19803.9499	19803.9499
2014-09-09	100	94.326258	10371.3241	19803.9499
2014-09-10	0	97.223719	20093.696	20093.696
2014-09-11	-100	97.637642	29857.4602	20093.696
2014-09-12	-100	97.859046	29857.4602	20071.5556
2014-09-15	-100	97.830161	29857.4602	20074.4441
2014-09-16	-100	97.088954	29857.4602	20148.5648
2014-09-17	-100	97.782035	29857.4602	20079.2567
2014-09-18	-100	97.984183	29857.4602	20059.0419
2014-09-19	-100	97.185214	29857.4602	20138.9388
2014-09-22	0	97.281473	20129.3129	20129.3129
2014-09-23	-100	98.802401	30009.553	20129.3129
2014-09-24	-100	97.945677	30009.553	20214.9853
2014-09-25	0	94.210749	20588.4781	20588.4781
2014-09-26	-100	96.983066	30286.7847	20588.4781
2014-09-29	-100	96.366996	30286.7847	20650.0851
2014-09-30	-100	96.983066	30286.7847	20588.4781
2014-10-01	0	95.471767	20739.608	20739.608
2014-10-02	-100	96.164848	30356.0928	20739.608
2014-10-03	-100	95.895318	30356.0928	20766.561
2014-10-06	-100	95.895318	30356.0928	20766.561
2014-10-07	-100	95.057844	30356.0928	20850.3084
2014-10-08	-100	97.0312	30356.0928	20652.9728
2014-10-09	-100	97.242968	30356.0928	20631.796
2014-10-10	0	96.963817	20659.7111	20659.7111
2014-10-13	0	96.078209	20659.7111	20659.7111
2014-10-14	-100	95.057844	30165.4955	20659.7111
2014-10-15	0	93.893086	20776.1869	20776.1869
2014-10-16	100	92.660945	11510.0924	20776.1869
2014-10-17	0	94.018222	20911.9146	20911.9146
2014-10-20	0	96.030083	20911.9146	20911.9146
2014-10-21	100	98.638758	11048.0388	20911.9146
2014-10-22	100	99.139313	11048.0388	20961.9701
2014-10-23	100	100.910521	11048.0388	21139.0909
2014-10-24	0	101.285939	21176.6327	21176.6327
2014-10-27	100	101.180051	11058.6276	21176.6327
2014-10-28	100	102.749105	11058.6276	21333.5381
2014-10-29	100	103.32667	11058.6276	21391.2946
2014-10-30	100	102.980136	11058.6276	21356.6412
2014-10-31	100	103.961997	11058.6276	21454.8273
2014-11-03	100	105.309654	11058.6276	21589.593
2014-11-04	100	104.539562	11058.6276	21512.5838
2014-11-05	0	104.789843	21537.6119	21537.6119
2014-11-06	100	105.089541	11028.6578	21537.6119
2014-11-07	0	105.389249	21567.5827	21567.5827
2014-11-10	100	105.215228	11046.0599	21567.5827
2014-11-11	0	106.056326	21651.6925	21651.6925
2014-11-12	0	107.554846	21651.6925	21651.6925
2014-11-13	0	109.072698	21651.6925	21651.6925
2014-11-14	100	110.387527	10612.9398	21651.6925
2014-11-17	100	110.203835	10612.9398	21633.3233
2014-11-18	100	111.63468	10612.9398	21776.4078
2014-11-19	100	110.861249	10612.9398	21699.0647
2014-11-20	0	112.446776	21857.6174	21857.6174
2014-11-21	100	112.601466	10597.4708	21857.6174
2014-11-24	100	114.689718	10597.4708	22066.4426
2014-11-25	100	113.69393	10597.4708	21966.8638
2014-11-26	100	115.047431	10597.4708	22102.2139
2014-11-28	0	114.979756	22095.4464	22095.4464
2014-12-01	0	111.247965	22095.4464	22095.4464
2014-12-02	100	110.822577	11013.1887	22095.4464
2014-12-03	100	112.079401	11013.1887	22221.1288
2014-12-04	0	111.654013	22178.59	22178.59
2014-12-05	0	111.18029	22178.59	22178.59
2014-12-08	100	108.66665	11311.925	22178.59
2014-12-09	100	110.329522	11311.925	22344.8772
2014-12-10	100	108.231593	11311.925	22135.0843
2014-12-11	0	107.912559	22103.1809	22103.1809
2014-12-12	-100	106.085336	32711.7145	22103.1809
2014-12-15	-100	104.635158	32711.7145	22248.1987
2014-12-16	0	103.204313	22391.2832	22391.2832
2014-12-17	0	105.775965	22391.2832	22391.2832
2014-12-18	-100	108.908347	33282.1179	22391.2832
2014-12-19	-100	108.067241	33282.1179	22475.3938
2014-12-22	-100	109.188715	33282.1179	22363.2464
2014-12-23	-100	108.802	33282.1179	22401.9179
2014-12-24	0	108.289605	22453.1574	22453.1574
2014-12-26	0	110.203835	22453.1574	22453.1574
2014-12-29	-100	110.126498	33465.8072	22453.1574
2014-12-30	0	108.78266	22587.5412	22587.5412
2014-12-31	-100	106.71374	33258.9152	22587.5412
2015-01-02	-100	105.69862	33258.9152	22689.0532
2015-01-05	0	102.72092	22986.8232	22986.8232
2015-01-06	0	102.73059	22986.8232	22986.8232
2015-01-07	0	104.171098	22986.8232	22986.8232
2015-01-08	0	108.173588	22986.8232	22986.8232
2015-01-09	0	108.289605	22986.8232	22986.8232
2015-01-12	100	105.621276	12424.6956	22986.8232
2015-01-13	100	106.559059	12424.6956	23080.6015
2015-01-14	0	106.153011	23039.9967	23039.9967
2015-01-15	100	103.271988	12712.7979	23039.9967
2015-01-16	100	102.469554	12712.7979	22959.7533
2015-01-20	100	105.108881	12712.7979	23223.686
2015-01-21	100	105.911314	12712.7979	23303.9293
2015-01-22	100	108.66665	12712.7979	23579.4629
2015-01-23	100	109.227388	12712.7979	23635.5367
2015-01-26	0	109.343397	23647.1376	23647.1376
2015-01-27	100	105.514929	13095.6447	23647.1376
2015-01-28	100	111.479991	13095.6447	24243.6438
2015-01-29	0	114.950754	24590.7201	24590.7201
2015-01-30	0	113.26855	24590.7201	24590.7201
2015-02-02	0	114.689718	24590.7201	24590.7201
2015-02-03	0	114.709057	24590.7201	24590.7201
2015-02-04	0	115.588828	24590.7201	24590.7201
2015-02-05	0	116.413846	24590.7201	24590.7201
2015-02-06	0	115.433537	24590.7201	24590.7201
2015-02-09	0	116.200313	24590.7201	24590.7201
2015-02-10	100	118.43269	12747.4511	24590.7201
2015-02-11	0	121.208608	24868.3119	24868.3119
2015-02-12	0	122.742159	24868.3119	24868.3119
2015-02-13	0	123.343934	24868.3119	24868.3119
2015-02-17	100	124.071885	12461.1234	24868.3119
2015-02-18	0	124.935719	24954.6953	24954.6953
2015-02-19	0	124.673652	24954.6953	24954.6953
2015-02-20	100	125.692786	12385.4167	24954.6953
2015-02-23	100	129.089888	12385.4167	25294.4055
2015-02-24	0	128.284288	25213.8455	25213.8455
2015-02-25	100	125.003653	12713.4802	25213.8455
2015-02-26	100	126.585737	12713.4802	25372.0539
2015-02-27	100	124.683368	12713.4802	25181.817
2015-03-02	100	125.294836	12713.4802	25242.9638
2015-03-03	100	125.556903	12713.4802	25269.1705
2015-03-04	0	124.761003	25189.5805	25189.5805
2015-03-05	100	122.693634	12920.2171	25189.5805
2015-03-06	0	122.878043	25208.0214	25208.0214
2015-03-09	0	123.402168	25208.0214	25208.0214
2015-03-10	0	120.849491	25208.0214	25208.0214
2015-03-11	100	118.646223	13343.3991	25208.0214
2015-03-12	100	120.79125	13343.3991	25422.5241
2015-03-13	100	119.956533	13343.3991	25339.0524
2015-03-16	0	121.27655	25471.0541	25471.0541
2015-03-17	100	123.305109	13140.5432	25471.0541
2015-03-18	100	124.693069	13140.5432	25609.8501
2015-03-19	0	123.751585	25515.7017	25515.7017
2015-03-20	0	122.198625	25515.7017	25515.7017
2015-03-23	-100	123.47011	37862.7127	25515.7017
