	IBM	Stock Price	Cash	Portfolio Value
2014-04-24	-100	175.766903	51167.1629	33590.4726
2014-04-25	0	175.221735	33644.9894	33644.9894
2014-04-28	100	178.465037	15798.4857	33644.9894
2014-04-29	0	180.285355	33827.0212	33827.0212
2014-04-30	-100	181.542022	51981.2234	33827.0212
2014-05-01	-100	178.825403	51981.2234	34098.6831
2014-05-02	-100	176.894207	51981.2234	34291.8027
2014-05-05	-100	176.727876	51981.2234	34308.4358
2014-05-06	-100	175.591337	51981.2234	34422.0897
2014-05-07	-100	175.935214	51981.2234	34387.702
2014-05-08	0	175.572749	34423.9485	34423.9485
2014-05-09	0	176.660144	34423.9485	34423.9485
2014-05-12	-100	178.974352	52321.3837	34423.9485
2014-05-13	0	178.621176	34459.2661	34459.2661
2014-05-14	-100	175.39616	51998.8821	34459.2661
2014-05-15	0	173.295724	34669.3097	34669.3097
2014-05-16	100	173.853355	17283.9742	34669.3097
2014-05-19	0	173.797593	34663.7335	34663.7335
2014-05-20	0	171.836561	34663.7335	34663.7335
2014-05-21	-100	173.230659	51986.7994	34663.7335
2014-05-22	-100	172.57078	51986.7994	34729.7214
2014-05-23	-100	172.812433	51986.7994	34705.5561
2014-05-27	-100	171.734327	51986.7994	34813.3667
2014-05-28	-100	170.154351	51986.7994	34971.3643
2014-05-29	0	170.786336	34908.1658	34908.1658
2014-05-30	0	171.343981	34908.1658	34908.1658
2014-06-02	0	172.580083	34908.1658	34908.1658
2014-06-03	0	171.35327	34908.1658	34908.1658
2014-06-04	0	171.483385	34908.1658	34908.1658
2014-06-05	0	172.849602	34908.1658	34908.1658
2014-06-06	0	173.212067	34908.1658	34908.1658
2014-06-09	-100	173.072663	52215.4321	34908.1658
2014-06-10	-100	171.278916	52215.4321	35087.5405
2014-06-11	-100	169.382948	52215.4321	35277.1373
2014-06-12	0	168.425669	35372.8652	35372.8652
2014-06-13	100	169.67106	18405.7592	35372.8652
2014-06-16	0	169.475894	35353.3486	35353.3486
2014-06-17	100	169.392237	18414.1249	35353.3486
2014-06-18	100	170.637643	18414.1249	35477.8892
2014-06-19	100	169.912713	18414.1249	35405.3962
2014-06-20	100	168.732372	18414.1249	35287.3621
2014-06-23	100	169.280714	18414.1249	35342.1963
2014-06-24	0	168.109677	35225.0926	35225.0926
2014-06-25	0	167.960969	35225.0926	35225.0926
2014-06-26	100	167.635674	18461.5252	35225.0926
2014-06-27	100	168.881079	18461.5252	35349.6331
2014-06-30	100	168.472142	18461.5252	35308.7394
2014-07-01	100	173.19349	18461.5252	35780.8742
2014-07-02	0	175.089457	35970.4709	35970.4709
2014-07-03	-100	175.219572	53492.4281	35970.4709
2014-07-07	-100	174.764162	53492.4281	36016.0119
2014-07-08	-100	174.002062	53492.4281	36092.2219
2014-07-09	0	175.117338	35980.6943	35980.6943
2014-07-10	100	174.44817	18535.8773	35980.6943
2014-07-11	0	174.726992	36008.5765	36008.5765
2014-07-14	0	176.455675	36008.5765	36008.5765
2014-07-15	100	175.182403	18490.3362	36008.5765
2014-07-16	100	178.779172	18490.3362	36368.2534
2014-07-17	0	178.899998	36380.336	36380.336
2014-07-18	0	178.909287	36380.336	36380.336
2014-07-21	0	177.375785	36380.336	36380.336
2014-07-22	-100	180.387028	54419.0388	36380.336
2014-07-23	-100	179.959512	54419.0388	36423.0876
2014-07-24	-100	181.455845	54419.0388	36273.4543
2014-07-25	-100	180.675139	54419.0388	36351.5249
2014-07-28	-100	181.957714	54419.0388	36223.2674
2014-07-29	-100	180.83315	54419.0388	36335.7238
2014-07-30	-100	180.303385	54419.0388	36388.7003
2014-07-31	-100	178.137884	54419.0388	36605.2504
2014-08-01	0	175.795795	36839.4593	36839.4593
2014-08-04	0	176.251206	36839.4593	36839.4593
2014-08-05	-100	173.890539	54228.5132	36839.4593
2014-08-06	-100	173.862487	54228.5132	36842.2645
2014-08-07	-100	172.301213	54228.5132	36998.3919
2014-08-08	-100	174.479521	54228.5132	36780.5611
2014-08-11	0	175.26483	36702.0302	36702.0302
2014-08-12	-100	175.143289	54216.3591	36702.0302
2014-08-13	0	175.713576	36645.0015	36645.0015
2014-08-14	100	175.64814	19080.1875	36645.0015
2014-08-15	100	175.180693	19080.1875	36598.2568
2014-08-18	100	177.031782	19080.1875	36783.3657
2014-08-19	100	177.695563	19080.1875	36849.7438
2014-08-20	100	177.723609	19080.1875	36852.5484
2014-08-21	100	178.780031	19080.1875	36958.1906
2014-08-22	100	178.013424	19080.1875	36881.5299
2014-08-25	100	178.714596	19080.1875	36951.6471
2014-08-26	100	180.425456	19080.1875	37122.7331
2014-08-27	0	179.733628	37053.5503	37053.5503
2014-08-28	100	179.499905	19103.5598	37053.5503
2014-08-29	100	179.780376	19103.5598	37081.5974
2014-09-02	0	179.088548	37012.4146	37012.4146
2014-09-03	-100	179.453157	54957.7303	37012.4146
2014-09-04	0	178.265836	37131.1467	37131.1467
2014-09-05	0	178.751986	37131.1467	37131.1467
2014-09-08	100	177.760999	19355.0468	37131.1467
2014-09-09	100	177.62077	19355.0468	37117.1238
2014-09-10	100	179.069847	19355.0468	37262.0315
2014-09-11	100	179.238135	19355.0468	37278.8603
2014-09-12	100	178.826779	19355.0468	37237.7247
2014-09-15	100	179.322272	19355.0468	37287.274
2014-09-16	100	180.39741	19355.0468	37394.7878
2014-09-17	100	180.247824	19355.0468	37379.8292
2014-09-18	100	181.135971	19355.0468	37468.6439
2014-09-19	0	181.369695	37492.0163	37492.0163
2014-09-22	-100	180.537639	55545.7802	37492.0163
2014-09-23	-100	179.14464	55545.7802	37631.3162
2014-09-24	-100	179.78972	55545.7802	37566.8082
2014-09-25	0	176.704562	37875.324	37875.324
2014-09-26	0	177.686205	37875.324	37875.324
2014-09-29	0	177.293551	37875.324	37875.324
2014-09-30	0	177.471183	37875.324	37875.324
2014-10-01	0	174.984358	37875.324	37875.324
2014-10-02	0	174.741291	37875.324	37875.324
2014-10-03	0	176.386701	37875.324	37875.324
2014-10-06	-100	176.732608	55548.5848	37875.324
2014-10-07	-100	173.619419	55548.5848	38186.6429
2014-10-08	-100	177.031782	55548.5848	37845.4066
2014-10-09	0	174.283187	38120.2661	38120.2661
2014-10-10	-100	173.825083	55502.7744	38120.2661
2014-10-13	-100	171.571996	55502.7744	38345.5748
2014-10-14	-100	171.833766	55502.7744	38319.3978
2014-10-15	-100	169.917227	55502.7744	38511.0517
2014-10-16	-100	168.131574	55502.7744	38689.617
2014-10-17	-100	170.197699	55502.7744	38483.0045
2014-10-20	-100	158.090807	55502.7744	39693.6937
2014-10-21	-100	152.602962	55502.7744	40242.4782
2014-10-22	-100	151.25671	55502.7744	40377.1034
2014-10-23	0	151.621319	40340.6425	40340.6425
2014-10-24	100	151.527838	25187.8587	40340.6425
2014-10-27	100	151.331504	25187.8587	40321.0091
2014-10-28	100	152.948883	25187.8587	40482.747
2014-10-29	100	152.817998	25187.8587	40469.6585
2014-10-30	100	153.650054	25187.8587	40552.8641
2014-10-31	100	153.696788	25187.8587	40557.5375
2014-11-03	0	153.659398	40553.7985	40553.7985
2014-11-04	0	152.060721	40553.7985	40553.7985
2014-11-05	0	151.28477	40553.7985	40553.7985
