	GOOG	Stock Price	Cash	Portfolio Value
2014-06-13	0	551.762475	88472.0699	88472.0699
2014-06-16	-100	544.282488	142900.3187	88472.0699
2014-06-17	0	543.012465	88599.0722	88599.0722
2014-06-18	0	553.372481	88599.0722	88599.0722
2014-06-19	0	554.902495	88599.0722	88599.0722
2014-06-20	100	556.362492	32962.823	88599.0722
2014-06-23	100	564.952579	32962.823	89458.0809
2014-06-24	100	564.622572	32962.823	89425.0802
2014-06-25	100	578.652627	32962.823	90828.0857
2014-06-26	0	576.002598	90563.0828	90563.0828
2014-06-27	0	577.242632	90563.0828	90563.0828
2014-06-30	0	575.282606	90563.0828	90563.0828
2014-07-01	0	582.672624	90563.0828	90563.0828
2014-07-02	0	582.33766	90563.0828	90563.0828
2014-07-03	0	584.732656	90563.0828	90563.0828
2014-07-07	0	582.252649	90563.0828	90563.0828
2014-07-08	0	571.092587	90563.0828	90563.0828
2014-07-09	-100	576.08259	148171.3418	90563.0828
2014-07-10	-100	571.102563	148171.3418	91061.0855
2014-07-11	0	579.182645	90253.0773	90253.0773
2014-07-14	-100	584.872627	148740.34	90253.0773
2014-07-15	-100	584.782659	148740.34	90262.0741
2014-07-16	0	582.662648	90474.0752	90474.0752
2014-07-17	100	573.732579	33100.8173	90474.0752
2014-07-18	0	595.082696	92609.0869	92609.0869
2014-07-21	0	589.472645	92609.0869	92609.0869
2014-07-22	-100	594.742713	152083.3582	92609.0869
2014-07-23	-100	595.982686	152083.3582	92485.0896
2014-07-24	-100	593.352671	152083.3582	92748.0911
2014-07-25	0	589.022681	93181.0901	93181.0901
2014-07-28	-100	590.602697	152241.3598	93181.0901
2014-07-29	-100	585.612633	152241.3598	93680.0965
2014-07-30	-100	587.42265	152241.3598	93499.0948
2014-07-31	-100	571.602592	152241.3598	95081.1006
2014-08-01	0	566.072533	95634.1065	95634.1065
2014-08-04	0	573.152619	95634.1065	95634.1065
2014-08-05	0	565.072537	95634.1065	95634.1065
2014-08-06	0	566.376589	95634.1065	95634.1065
2014-08-07	0	563.362525	95634.1065	95634.1065
2014-08-08	0	568.772565	95634.1065	95634.1065
2014-08-11	-100	567.882551	152422.3616	95634.1065
2014-08-12	0	562.732562	96149.1054	96149.1054
2014-08-13	0	574.782577	96149.1054	96149.1054
2014-08-14	-100	574.652582	153614.3636	96149.1054
2014-08-15	0	573.482626	96266.101	96266.101
2014-08-18	100	582.162619	38049.8391	96266.101
2014-08-19	100	586.862643	38049.8391	96736.1034
2014-08-20	0	584.492618	96499.1009	96499.1009
2014-08-21	0	583.372664	96499.1009	96499.1009
2014-08-22	0	582.562642	96499.1009	96499.1009
2014-08-25	0	580.202654	96499.1009	96499.1009
2014-08-26	-100	577.862619	154285.3628	96499.1009
2014-08-27	0	571.002557	97185.1071	97185.1071
2014-08-28	0	569.202577	97185.1071	97185.1071
2014-08-29	0	571.602592	97185.1071	97185.1071
2014-09-02	100	577.332601	39451.847	97185.1071
2014-09-03	100	577.942611	39451.847	97246.1081
2014-09-04	0	581.982621	97650.1091	97650.1091
2014-09-05	100	586.082672	39041.8419	97650.1091
2014-09-08	0	589.722659	98014.1078	98014.1078
2014-09-09	100	581.012615	39912.8463	98014.1078
2014-09-10	0	583.102636	98223.1099	98223.1099
2014-09-11	-100	581.352659	156358.3758	98223.1099
2014-09-12	0	575.622589	98796.1169	98796.1169
2014-09-15	0	573.102616	98796.1169	98796.1169
2014-09-16	100	579.95264	40800.8529	98796.1169
2014-09-17	100	584.772622	40800.8529	99278.1151
2014-09-18	0	589.272695	99728.1224	99728.1224
2014-09-19	-100	596.082692	159336.3916	99728.1224
2014-09-22	-100	587.372648	159336.3916	100599.1268
2014-09-23	0	581.132634	101223.1282	101223.1282
2014-09-24	-100	587.992634	160022.3916	101223.1282
2014-09-25	0	575.062581	102516.1335	102516.1335
2014-09-26	-100	577.1026	160226.3935	102516.1335
2014-09-29	-100	576.362594	160226.3935	102590.1341
2014-09-30	-100	577.36259	160226.3935	102490.1345
2014-10-01	-100	568.272597	160226.3935	103399.1338
2014-10-02	0	570.082554	103218.1381	103218.1381
2014-10-03	-100	575.282606	160746.3987	103218.1381
2014-10-06	-100	577.352614	160746.3987	103011.1373
2014-10-07	0	563.742534	104372.1453	104372.1453
2014-10-08	0	572.502582	104372.1453	104372.1453
2014-10-09	-100	560.882518	160460.3971	104372.1453
2014-10-10	0	544.492476	106011.1495	106011.1495
2014-10-13	100	533.212394	52689.9101	106011.1495
2014-10-14	100	537.942408	52689.9101	106484.1509
2014-10-15	0	530.032409	105693.151	105693.151
2014-10-16	-100	524.512387	158144.3897	105693.151
2014-10-17	-100	511.172305	158144.3897	107027.1592
2014-10-20	0	520.842349	106060.1548	106060.1548
2014-10-21	100	526.542369	53405.9179	106060.1548
2014-10-22	0	532.712427	106677.1606	106677.1606
2014-10-23	-100	543.982471	161075.4077	106677.1606
2014-10-24	0	539.782415	107097.1662	107097.1662
2014-10-27	100	540.772435	53019.9227	107097.1662
2014-10-28	100	548.902458	53019.9227	107910.1685
2014-10-29	100	549.33247	53019.9227	107953.1697
2014-10-30	0	550.312514	108051.1741	108051.1741
2014-10-31	-100	559.082538	163959.4279	108051.1741
2014-11-03	-100	555.222525	163959.4279	108437.1754
2014-11-04	0	554.112486	108548.1793	108548.1793
2014-11-05	0	545.922484	108548.1793	108548.1793
2014-11-06	0	542.042458	108548.1793	108548.1793
2014-11-07	0	541.012473	108548.1793	108548.1793
2014-11-10	0	547.492463	108548.1793	108548.1793
2014-11-11	-100	550.292501	163577.4294	108548.1793
2014-11-12	-100	547.312465	163577.4294	108846.1829
2014-11-13	-100	545.38249	163577.4294	109039.1804
2014-11-14	-100	544.402446	163577.4294	109137.1848
2014-11-17	-100	536.512399	163577.4294	109926.1895
2014-11-18	-100	535.032449	163577.4294	110074.1845
2014-11-19	-100	536.992415	163577.4294	109878.1879
2014-11-20	-100	534.832438	163577.4294	110094.1856
2014-11-21	-100	537.502419	163577.4294	109827.1875
2014-11-24	-100	539.272471	163577.4294	109650.1823
2014-11-25	0	541.082428	109469.1866	109469.1866
2014-11-26	-100	540.372473	163506.4339	109469.1866
2014-11-28	-100	541.832471	163506.4339	109323.1868
2014-12-01	-100	533.802391	163506.4339	110126.1948
2014-12-02	0	533.752389	110131.195	110131.195
2014-12-03	100	531.322384	56998.9566	110131.195
2014-12-04	0	537.312445	110730.2011	110730.2011
2014-12-05	100	525.262369	58203.9642	110730.2011
2014-12-08	100	526.982357	58203.9642	110902.1999
2014-12-09	100	533.37244	58203.9642	111541.2082
2014-12-10	0	526.062353	110810.1995	110810.1995
2014-12-11	-100	528.34241	163644.4405	110810.1995
2014-12-12	-100	518.662359	163644.4405	111778.2046
2014-12-15	-100	513.802351	163644.4405	112264.2054
2014-12-16	-100	495.392242	163644.4405	114105.2163
2014-12-17	0	504.892295	113155.211	113155.211
2014-12-18	100	511.102319	62044.9791	113155.211
2014-12-19	100	516.352313	62044.9791	113680.2104
